que,that,Creo que es cierto.,I believe that it is true.
de,of,La casa de Juan.,Juan's house.
no,no,No quiero ir.,I don't want to go.
a,to,Voy a casa.,I am going home.
la,the (feminine),La mesa es roja.,The table is red.
el,the (masculine),El libro es interesante.,The book is interesting.
es,is,Ella es amiga.,She is a friend.
y,and,Pan y queso.,Bread and cheese.
en,in,El gato está en la casa.,The cat is in the house.
lo,it/him,Lo vi ayer.,I saw him yesterday.
un,a (masc),Tengo un perro.,I have a dog.
por,for,Gracias por todo.,Thanks for everything.
qué,what,¿Qué pasa?,What's happening?
me,me,Me gusta viajar.,I like to travel.
una,a (fem),Quiero una manzana.,I want an apple.
te,you (obj),Te llamo mañana.,I'll call you tomorrow.
los,the (pl masc),Los niños juegan.,The children are playing.
se,oneself,Se levantó temprano.,He got up early.
con,with,Voy con mi amigo.,I go with my friend.
para,for/to,Este regalo es para ti.,This gift is for you.
mi,my,Este es mi coche.,This is my car.
está,is (temp),El café está caliente.,The coffee is hot.
si,if,Si llueve me quedo.,If it rains I stay.
bien,well,Todo está bien.,Everything is fine.
pero,but,Quiero ir pero no puedo.,I want to go but I can't.
yo,I,Yo estudio español.,I study Spanish.
eso,that,Eso es interesante.,That is interesting.
las,the (pl fem),Las flores son bonitas.,The flowers are beautiful.
sí,yes,Sí acepto.,Yes I accept.
su,his/her,Ella vendió su coche.,She sold her car.
tu,your,¿Dónde está tu libro?,Where is your book?
aquí,here,Ven aquí.,Come here.
del,of the,La clave del éxito.,The key to success.
al,to the,Voy al parque.,I go to the park.
como,like/as,Trabajo como maestro.,I work as a teacher.
le,to him/her,Le di un regalo.,I gave him a gift.
más,more,Quiero más agua.,I want more water.
esto,this,¿Qué es esto?,What is this?
ya,already,Ya terminé.,I already finished.
todo,all,Todo está listo.,Everything is ready.
esta,this (fem),Esta casa es vieja.,This house is old.
vamos,let's go,¡Vamos al cine!,Let's go to the movies!
muy,very,Este libro es muy bueno.,This book is very good.
hay,there is/are,Hay tres manzanas.,There are three apples.
ahora,now,Ahora estudio para el examen.,Now I study for the exam.
algo,something,Quiero algo de comer.,I want something to eat.
estoy,I am,Estoy cansado.,I am tired.
tengo,I have,Tengo dos hermanos.,I have two brothers.
nos,us,Ellos nos ayudan.,They help us.
tú,you,Tú eres mi amigo.,You are my friend.
nada,nothing,No veo nada.,I see nothing.
cuando,when,Cuando llegues avísame.,When you arrive let me know.
ha,has,Ella ha llegado.,She has arrived.
este,this (masc),Este coche es rápido.,This car is fast.
sé,I know,Yo sé la respuesta.,I know the answer.
estás,you are,¿Estás bien?,Are you okay?
así,like this,Hazlo así.,Do it like this.
puedo,I can,Puedo ayudar.,I can help.
cómo,how,¿Cómo estás?,How are you?
quiero,I want,Quiero aprender.,I want to learn.
sólo,only,Sólo tengo una pregunta.,I only have one question.
soy,I am,Soy estudiante.,I am a student.
tiene,he/she has,Él tiene un gato.,He has a cat.
gracias,thanks,Gracias por la ayuda.,Thanks for the help.
o,or,¿Café o té?,Coffee or tea?
él,he,Él es mi hermano.,He is my brother.
bueno,good,Ese libro es bueno.,That book is good.
fue,was,La fiesta fue divertida.,The party was fun.
ser,to be,Quiero ser doctor.,I want to be a doctor.
hacer,to do,Vamos a hacer ejercicio.,Let's do exercise.
son,they are,Ellos son amigos.,They are friends.
todos,all,Todos están aquí.,Everyone is here.
era,was,Era un día soleado.,It was a sunny day.
eres,you are,Eres muy amable.,You are very kind.
vez,time,Esta es la primera vez.,This is the first time.
tienes,you have,¿Tienes mi libro?,Do you have my book?
creo,I believe,Creo en ti.,I believe in you.
ella,she,Ella vive aquí.,She lives here.
he,I have,He comido.,I have eaten.
ese,that,Ese coche es caro.,That car is expensive.
voy,I go,Voy al trabajo.,I go to work.
puede,he/she can,Ella puede nadar.,She can swim.
sabes,you know,¿Sabes la respuesta?,Do you know the answer?
hola,hello,Hola ¿cómo estás?,Hello how are you?
sus,their,Sus ideas son buenas.,Their ideas are good.
porque,because,No fui porque estaba enfermo.,I didn't go because I was sick.
dios,God,Gracias a Dios.,Thank God.
quién,who,¿Quién es él?,Who is he?
nunca,never,Nunca he ido.,I have never gone.
dónde,where,¿Dónde vives?,Where do you live?
quieres,you want,¿Qué quieres?,What do you want?
casa,house,Voy a casa.,I am going home.
favor,favor,Hazme un favor.,Do me a favor.
esa,that (fem),Esa idea me gusta.,I like that idea.
dos,two,Tengo dos manos.,I have two hands.
tan,so,Eres tan amable.,You are so kind.
señor,sir,Hola señor Pérez.,Hello Mr. Pérez.
tiempo,time,No tengo tiempo.,I don't have time.
verdad,truth,¿Es verdad?,Is it true?
estaba,was,Estaba cansado.,I was tired.
mejor,better,Este libro es mejor que el otro.,This book is better than the other one.
están,they are,Ellos están en casa.,They are at home.
va,goes,Él va al trabajo cada día.,He goes to work every day.
hombre,man,Ese hombre es mi vecino.,That man is my neighbor.
usted,you (formal),¿Cómo está usted hoy?,How are you today?
mucho,a lot,Me gusta mucho esta canción.,I like this song a lot.
